Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
It is very difficult to retain all that you hear in the class.,keep,recall,preserve,conserve,keep,
The great artist life was full of vicissitudes.,sorrows,misfortunes,changes,surprises,changes,
She has an insatiable love for music.,unsatisfiable,unchanging,irreconcilable,undesirable,unsatisfiable,
The great dancer impressed the appreciative crowd by his nimble movements.,Unrhythmic,lively,quickening,clear,quickening,
The visitor had a bohemian look.,hostile,unconventional,sinister,unfriendly,unconventional,
The bullet wound proved to be fatal and the soldier died immediately.,grievous,dangerous,serious,deadly,deadly,
The attitude of Western countries towards the Third World Countries is rather callous to say the least.,passive,unkind,cursed,unfeeling,unfeeling,
"In spite of their efforts, the team of scientists could not make much headway to solve the problem.",progress,thinking,efforts,start,progress,
On scrutiny the police officer found out that the documents provided by the landlord were totally fabricated.,forged,historical,prepared,genuine,forged,
Lack of occupation is not necessary revealed by manifest idleness.,easily perceived,easily acquired,easily infected,easily deflected,easily perceived,
The accident occurred due to his lapse.,trick,interval,error,ignorance,error,
Sunlight and shadow made the landscape a kaleidoscope of colour.,tube containing mirrors and loose pieces of coloured glass,frequently changing pattern of bright scenes,a mixture of black and white,resembling the seven colours of rainbow,frequently changing pattern of bright scenes,
"After the dismal performance of the team in the series concluded yesterday, the captain offered his resignation to the president of the club.",poor,sorrowful,minimum,short,poor,
"We didn't believe in his statement, but subsequent events proved that he was right.",later,many,few,earlier,later,
"The pioneers left a blazing trial of courage, manliness and chivalry.",inventors,explorers,colonialist,settlers,settlers,
He has a propensity for getting into debt.,natural tendency,aptitude,characteristic,quality,natural tendency,
That young is quite sanguine about the result of his competitive examination.,depressed,pessimistic,anxious,optimistic,optimistic,
He is averse to the idea of holding elections now.,convinced,angry,agreeable,opposed,opposed,
The thief outwitted the constable on some pretext and disappeared on the way to the police station.,defeated,be fooled,cheated,outmanoeuvred,defeated,
Silence is mandatory for meditation to be effective.,compulsory,necessary,required,needed,compulsory,
We should always try to maintain and promote communal amity.,bondage,contention,friendship,understanding,friendship,
The soldier displayed exceptional courage and saved Major from the enemy's hand.,avoidable,unusual,strange,abnormal,unusual,
Public figures should not indulge in mud-slinging.,caricatures,mockery,slander,quarrelling,slander,
The notice said that the meeting would begin precisely at 9.30 AM.,approximately,exactly,accurately,concisely,exactly,
That the plan is both inhuman and preposterous needs no further proof.,heartless,impractical,absurd,abnormal,absurd,
The prisoner has been languishing in the jail for the last many years.,convicted,suffering,attempting,avoiding,suffering,
As the driver was inebriated he could not control the car.,inexperienced,tired,befuddled,intoxicated,intoxicated,
"When the police questioned him, he gave very incoherent answer at first.",irrational,inconsistent,irrelevant,irritating,inconsistent,
Even today many people are guided by abstruse moral values.,dangerous,impracticable,obscure,irrational,obscure,
"Instead of putting up a united front against on common enemy, the medieval states frittered away their energy in internecine warfare.",mutually destructive,baneful,pernicious,detrimental,mutually destructive,
Few teachers have been spared the problem of an obstreperous pupil in the class.,sullen,unruly,lazy,awkward,unruly,
The story is too fantastic to be credible.,believable,false,readable,praiseworthy,believable,
They feel that we should be fully aware of our own environment.,nationality,heredity,nature,surroundings,surroundings,
No one will invite her to a tea party for she is so garrulous.,talks a lot,giggles all the time,laughs a lot,repeats gossip,talks a lot,
The aberration in the Indian Economy can be attributed to short-sightedness of its political masters.,procrastination,privilege,deviation,steadfastness,deviation,
"Traffic being what it is, it is lamentable that our roads are unable to take the load.",unpardonable,deplorable,inexcusable,terrible,deplorable,
A rupture in the relationship of two brothers is quite apparent.,break,damage,breach,gap,break,
His visit to foreign countries brought about a sea-change in his outlook and his attitude to people.,complete change,partial change,favourable change,unfavourable change,complete change,
Only those who are gullible take every advertisement seriously.,fallible,enthusiastic,unsuspecting,unrealistic,unsuspecting,
Whatever opinion he give is sane,rational,obscure,wild,arrogant,rational,
The recent acts of vandalism in the country cannot be ignored.,disturbance,ravage,provocation,violence,violence,
It took him a long time to come round after the operation.,recover,walk,move,eat,recover,
I don't like alien fashions.,foreign,extraneous,unusual,exotic,foreign,
Catching snakes can be hazardous for people untrained in the art.,tricky,harmful,difficult,dangerous,dangerous,
The inspector was a vigilant young man.,intelligent,ambitious,watchful,smart,watchful,
I wrote to him as lately as last week.,immediately,early,recently,late,recently,
Many species of animals have become extinct during the last hundred years.,aggressive,non-existent,scattered,feeble.,non-existent,
"The tablet alleviated the pain, and the patient was soon feeling much better.",mitigated,moderated,removed,lightened,mitigated,
The International Community may begin to doubt the credentials of the largest democracy in the world.,principles,dependability,capacity to return loans,trustworthiness,trustworthiness,
They were totally unaware of the impending disaster.,threatening,imminent,terrible,possible,imminent,
The general policies will relieve the sufferings of the common man.,alleviate,mitigate,moderate,abate,alleviate,
The underworld still makes solid profit out of illicit liquor.,indigenous,illegitimate,illegal,country,illegal,
True religion does not require one to proselytise through guile or force.,translate,hypnotise,attack,convert,convert,
The small boy was able to give a graphic description of the thief.,picture,drawing,vivid,broad,vivid,
""" I have learnt a great deal working factories, and for a time I've never been a weaver. Here are my testimonials, Mr. Davis""",witnesses,testaments,tokens,credentials,credentials,
The claims of students look hollow when they attribute their poor performance to difficulty of examination.,infer,impute,inhere,inundate,impute,
The angry villagers have lynched two suspected child-lifters already.,beaten up,captured,killed,mutilated,killed,
Some people just cannot compromise where truth is concerned.,adjust,accommodate,yield,conciliate,adjust,
He listened of my request with indifference.,disinterest,concern,displeasure,caution,disinterest,
The soldier provided his mettle in the battlefield.,persistence,stamina and strength,courage and endurance,heroism,courage and endurance,
Japan has been very much eulogised in this book.,appreciated,praised,approved,applauded,praised,
The time I spent in the library was a most rewarding one.,profitable,paying,serviceable,precious,profitable,
The benevolence of the God of Rain has seen a very successful monsoon this year too,ill-will,kindness,morbidity,vision,kindness,
"Whatever the verdict of history may be, Chaplin will occupy a unique place in its pages.",judgement,voice,outcome,prediction,judgement,
Even though singing of ballads is no longer lucrative the Bhopas of Rajasthan continue to sing them in order to cherish the memory of their royal warriors.,tempting,attractive,profitable,honourable,profitable,
"Incensed by his rude behaviour, the manager suspended the worker.",excited,inflamed,enraged,enthused,enraged,
The poem is written in a very lucid style.,elaborate,clear,noble,intricate,clear,
The base of an Indian Politicians is the group of sycophants around them who earn bad name for their leaders.,submissive,foppish,flatterers,jarnor,flatterers,
He was wanted at the outset of his career.,end,beginning,middle,entrance,beginning,
When youngsters do not have good role-model to emulate they start searching for them amongst Sportsmen of Filmstars.,imitate,modify,mollify,inhabit,imitate,
The novel was so interesting that I was oblivious of my surroundings.,precarious,unmindful,aware,watchful,unmindful,
All the characters in this novel are fictitious.,unbelievable,unreliable,infamous,unreal,unreal,
Everyone was listening to the news of earthquake with mounting anxiety.,curiosity,grief,uneasiness,eagerness,uneasiness,
He corroborated the statement of his brother.,confirmed,disproved,condemned,seconded,confirmed,
The prince fell in love with a comely young maiden.,delightful,pretty,homely,elegant,pretty,
"When I look back over there wartime years I cannot help feeling that time is an inadequate and even capricious measure of their duration at one moment they seem so long, at another so short.",misleading,whimsical,erratic,unpredictable,whimsical,
Manish neglected to remit the fees in time and therefore had to pay a fine.,refused,failed,promised,obstructed,failed,
Some of the Asian countries have been enmeshed in an inescapable debt trap.,entangled,hit,struck,ensured,entangled,
She baffled all our attempts to find her.,defeated,thwarted,foiled,circumvented,foiled,
It is a scandal that the murderer was declared innocent.,silly notion,talk,rumour,disgraceful action,disgraceful action,
Everybody likes him because he is an industrious student.,energetic,prompt,excellent,diligent,diligent,
The young man appears to be quite headstrong.,thick-headed,obstinate,robust,witty,obstinate,
"As soon as he finished his speech, there was spontaneous applause from the audience.",well-timed,willing,instinctive,instantaneous,instinctive,
The president of the party deprecated the move of the Government to introduce electoral reforms in a haste.,welcomed,denied,protested,humiliated,protested,
He found a lucrative assignment.,good,profitable,excellent,significiant,profitable,
A person unrestrained by the rules of morality or tradition is called a licentious person.,libertine,loafer-type,criminal,freelance,libertine,
The leader nodded his approbation.,understanding,approval,admiration,appreciation,approval,
When he returned he was accompanied by a sprightly young girl.,beautiful,lively,intelligent,sportive,lively,
"Being a member of this club, he has certain rights.",status,truth,virtues,privileges,privileges,
"When he could not endure the cruel ragging any longer, the new recruit bravely stood up to all his bullying seniors.",challenged,fought back,resisted,defeated,resisted,
His style is quite transparent.,verbose,involved,lucid,witty,lucid,
The invasion force had no artillery and was completely annihilated.,dismembered,reduced,destroyed,split,destroyed,
The courage shown by the soldiers at this moment of crisis is exemplary.,suitable,clear,elementary,admirable,admirable,
Swift is known in the world of letters for his misogynism.,hate for mankind,hate for womankind,love for the reasonable,love for the womankind,hate for womankind,
The indiscriminate demand for mass consumption goods is deplorable.,desperate,undifferentiated,discreet,insensitive,undifferentiated,
